State ,Hillary Clinton,Donald Trump
GA,46,51
IN,38,57
KY,33,63
SC,41,55
VA,50,45
VT,61,33
NC,47,51
OH,44,52
WV,26,69
AL,35,63
CT,54,41
DC,93,4
DE,53,42
FL,48,49
IL,55,39
MA,61,34
MD,61,35
ME,48,45
MO,38,57
MS,40,58
NH,48,47
NJ,55,42
OK,29,65
PA,48,49
RI,55,40
TN,35,61
AR,34,60
AZ,45,50
CO,47,44
KS,36,57
LA,38,58
MI,47,48
MN,47,45
ND,28,64
NE,34,60
NM,48,40
NY,59,37
SD,32,62
TX,43,53
WI,47,48
WY,22,70
IA,42,52
MT,36,57
NV,48,46
UT,28,46
CA,62,33
HI,62,30
ID,28,59
OR,52,41
WA,54,38
AK,38,53